step,stable_train_l2,fast_train_l2,stable_val_l2,fast_val_l2,stable_total_sec,fast_total_sec,stable_lr,fast_lr,abs_diff_train_l2,abs_diff_val_l2
55,-0.035467531570748084,-0.03546753157074809,-0.03564392154284131,-0.035643921542841316,23.319642696995288,20.590685749892145,0.001,0.001,6.938893903907228e-18,6.938893903907228e-18
60,-0.039795372293009675,-0.03979537229300965,-0.03949736984014433,-0.039497369840144285,25.27207336318679,22.575786719098687,0.001,0.001,2.7755575615628914e-17,4.163336342344337e-17
65,-0.044031489852072454,-0.044031489852072475,-0.04261127451973324,-0.04261127451973323,27.23659440409392,24.53931446094066,0.001,0.001,2.0816681711721685e-17,6.938893903907228e-18
70,-0.04813555357945308,-0.048135553579453115,-0.04565431568322484,-0.04565431568322489,29.171599853085354,26.44730707909912,0.001,0.001,3.469446951953614e-17,4.85722573273506e-17
75,-0.0522023563946469,-0.05220235639464686,-0.04867831719037138,-0.04867831719037134,31.159540724009275,28.272904224926606,0.001,0.001,3.469446951953614e-17,3.469446951953614e-17
80,-0.05557065553562028,-0.05557065553562025,-0.05106022095567672,-0.051060220955676694,33.11036766809411,30.260018636006862,0.001,0.001,2.7755575615628914e-17,2.7755575615628914e-17
85,-0.058372850021353076,-0.058372850021353055,-0.052483797842042434,-0.052483797842042455,35.11317012808286,32.330479863099754,0.001,0.001,2.0816681711721685e-17,2.0816681711721685e-17
90,-0.06012830339689727,-0.060128303396897266,-0.05353045912174664,-0.05353045912174662,37.191403578966856,34.24815507000312,0.001,0.001,6.938893903907228e-18,2.0816681711721685e-17
95,-0.0625446308774765,-0.06254463087747647,-0.05512583461183425,-0.05512583461183421,39.19962648116052,36.028005573898554,0.001,0.001,2.7755575615628914e-17,4.163336342344337e-17
100,-0.06461836594861234,-0.0646183659486124,-0.055954332739596636,-0.055954332739596616,41.104642623104155,37.99131576390937,0.001,0.001,5.551115123125783e-17,2.0816681711721685e-17
105,-0.06608536678518218,-0.06608536678518227,-0.0569179008194045,-0.05691790081940454,43.08457564399578,39.9310205380898,0.001,0.001,9.71445146547012e-17,3.469446951953614e-17
110,-0.06689064524657251,-0.06689064524657254,-0.057588831083379276,-0.05758883108337923,45.022753588156775,41.792486258083954,0.001,0.001,2.7755575615628914e-17,4.85722573273506e-17
115,-0.06679343618912555,-0.06679343618912553,-0.0577993822108714,-0.057799382210871386,47.00266350712627,43.721804701024666,0.001,0.001,1.3877787807814457e-17,1.3877787807814457e-17
120,-0.06806093050580969,-0.06806093050580983,-0.05842444835471457,-0.0584244483547145,49.096272435970604,45.623960421886295,0.001,0.001,1.3877787807814457e-16,6.938893903907228e-17
125,-0.0695798622013819,-0.06957986220138192,-0.059466245071808393,-0.059466245071808574,51.03162052715197,47.4988457809668,0.001,0.001,1.3877787807814457e-17,1.8041124150158794e-16
130,-0.07090891238600121,-0.07090891238600114,-0.06023607543093022,-0.06023607543093054,52.93752673803829,49.44196283002384,0.001,0.001,6.938893903907228e-17,3.191891195797325e-16
135,-0.07177893397025564,-0.07177893397025578,-0.06050128649331829,-0.060501286493318734,54.93627078202553,51.39191677398048,0.001,0.001,1.3877787807814457e-16,4.440892098500626e-16
140,-0.0725562053816213,-0.07255620538162125,-0.06069694307081244,-0.06069694307081236,56.93061427399516,53.264623241033405,0.001,0.001,5.551115123125783e-17,8.326672684688674e-17
145,-0.07324473956984108,-0.07324473956984105,-0.06075318261775019,-0.060753182617749715,58.95047012809664,55.21378158405423,0.001,0.001,2.7755575615628914e-17,4.718447854656915e-16
150,-0.07409276474574111,-0.07409276474574125,-0.0612655362728422,-0.06126553627284306,60.96995716099627,57.10446751606651,0.001,0.001,1.3877787807814457e-16,8.604228440844963e-16
155,-0.07442431969325745,-0.07442431969325822,-0.061582106657612476,-0.061582106657612073,62.882370562059805,58.97938601998612,0.001,0.001,7.632783294297951e-16,4.0245584642661925e-16
160,-0.0747225150901822,-0.07472251509018152,-0.062067591105123096,-0.062067591105123415,64.86349545000121,60.91584062203765,0.001,0.001,6.800116025829084e-16,3.191891195797325e-16
165,-0.07549049117681904,-0.07549049117681929,-0.06256533984011776,-0.06256533984011707,66.79697824316099,62.81662654108368,0.001,0.001,2.498001805406602e-16,6.938893903907228e-16
170,-0.07603668566738853,-0.07603668566738862,-0.06297699945447935,-0.06297699945447986,68.82301839999855,64.74244365398772,0.001,0.001,9.71445146547012e-17,5.134781488891349e-16
175,-0.07613370777456448,-0.07613370777456394,-0.06269374282498032,-0.06269374282497728,70.83454727614298,66.72760617709719,0.001,0.001,5.412337245047638e-16,3.039235529911366e-15
180,-0.07719554115966656,-0.07719554115966663,-0.0630717846660131,-0.06307178466602674,72.76754474802874,68.65305180009454,0.001,0.001,6.938893903907228e-17,1.3641865415081611e-14
185,-0.07815248299111455,-0.07815248299111663,-0.06311160020247741,-0.06311160020247158,74.75399954104796,70.59129182808101,0.001,0.001,2.0816681711721685e-15,5.828670879282072e-15
190,-0.0783596920800759,-0.07835969208006009,-0.06259945715328694,-0.06259945715330777,76.79072347609326,72.49092318094335,0.001,0.001,1.5806800313100666e-14,2.08305594995295e-14
195,-0.07865412031756407,-0.0786541203175605,-0.06254891298711877,-0.06254891298712731,78.74470046511851,74.44856322696432,0.001,0.001,3.566591466608315e-15,8.534839501805891e-15
200,-0.07880313416090051,-0.07880313416089701,-0.06276552947924455,-0.06276552947927963,80.8105104600545,76.40009844792075,0.001,0.001,3.497202527569243e-15,3.5083047578154947e-14
205,-0.07876980733014424,-0.07876980733007127,-0.0626958681711623,-0.06269586817071865,82.74181644897908,78.2719516470097,0.001,0.001,7.296940829348841e-14,4.4364512064021255e-13
210,-0.0790981889258952,-0.07909818892577282,-0.06273952738672385,-0.0627395273858951,84.66583635215648,80.13638810790144,0.001,0.001,1.2237433288930788e-13,8.287537323070637e-13
215,-0.07971954798042138,-0.07971954798041135,-0.06306730503948943,-0.06306730503943848,86.64419704815373,82.10110693308525,0.001,0.001,1.0033640585049852e-14,5.094535904248687e-14
220,-0.08010257948263613,-0.08010257948263089,-0.06293127689131564,-0.0629312768913014,88.56799444998614,83.999273234047,0.001,0.001,5.245803791353865e-15,1.4238610290817633e-14
225,-0.08014756114628734,-0.0801475611462772,-0.06275101906087381,-0.0627510190608999,90.5712675191462,85.89273973600939,0.001,0.001,1.0130785099704553e-14,2.609024107869118e-14
230,-0.08030830530345326,-0.08030830530346647,-0.062607880906593,-0.06260788090651503,92.61395517806523,87.75054077198729,0.001,0.001,1.3211653993039363e-14,7.796541190430162e-14
235,-0.08078822935109958,-0.08078822935104059,-0.06281481200098987,-0.06281481200115883,94.63832964608446,89.77706535789184,0.001,0.001,5.899447597101926e-14,1.68962066560141e-13
240,-0.08122247798605842,-0.08122247798606218,-0.0634524999431173,-0.06345249994312256,96.63574123196304,91.8080488590058,0.001,0.001,3.760880495917718e-15,5.259681579161679e-15
245,-0.08135572941334332,-0.08135572941329663,-0.06385119484815746,-0.06385119484822221,98.65005137003027,93.7782674820628,0.001,0.001,4.668487818548783e-14,6.475375791126226e-14
