init_noise,target_topology,model,final_val_l2,mean_iae,mean_ratio_to_floor,mean_l2,total_time_sec
0.0001,balanced,balanced_ttns,-0.03712765006105137,0.536154597069065,5.38859186353438,0.18596164329618134,77.87778561306186
0.0001,balanced,chain_ttns,-0.02687774418999461,0.5998358648577817,6.030166285608836,0.20565535983105476,53.83576241484843
0.0001,balanced,tt,-0.02833871920614111,0.5918829215446618,5.950330652274545,0.20211168527913917,5.586537261959165
0.0001,chain,balanced_ttns,2.519604962880408e-06,0.9222559990025445,12.158695531534468,0.33459326368872855,45.50829039188102
0.0001,chain,chain_ttns,3.2862103522232557e-06,0.9738993971556367,12.700620255944408,0.3428562067922856,43.92619384918362
0.0001,chain,tt,-4.983697408676836e-06,0.9237344010020246,12.26711912329001,0.33166209499606575,5.170865854946896
0.0005,balanced,balanced_ttns,-0.03883669802097155,0.5331683479586954,5.358960866984051,0.18473558220226818,54.217278735945
0.0005,balanced,chain_ttns,-0.027412990242459932,0.5915920515117697,5.949116138471083,0.20398354045103306,49.88994872896001
0.0005,balanced,tt,-0.02858182469441889,0.584048214830575,5.872774312613679,0.20039352486258974,5.369057108880952
0.0005,chain,balanced_ttns,-7.386575691952029e-07,0.9241451452434867,12.201977360492592,0.3334725358532031,45.05573364300653
0.0005,chain,chain_ttns,-1.435952747197978e-06,0.9231979546376321,12.181576066275445,0.3344463786069804,42.227011814014986
0.0005,chain,tt,-5.51330156504788e-06,0.9219384720680465,12.24444358426212,0.33082263923556504,5.018082401016727
0.001,balanced,balanced_ttns,-0.039749076213766554,0.5334834585979015,5.365876726891417,0.18765541094479507,53.815972766140476
0.001,balanced,chain_ttns,-0.027011485393844084,0.5958217248493533,5.992460314117568,0.20707066240922756,49.1595041861292
0.001,balanced,tt,-0.028354999422215144,0.5841776013484148,5.874529882414809,0.20062931136067655,5.313654247904196
0.001,chain,balanced_ttns,1.186184634179524e-06,0.9252769466741239,12.178898580288989,0.33674642915879366,45.04567958507687
0.001,chain,chain_ttns,2.4120279855227736e-06,0.9312071170543937,12.257861937316116,0.3353852608498224,41.50919371587224
0.001,chain,tt,-4.859016132462071e-06,0.9257993715331881,12.285401794352182,0.33133224757384155,4.992687834892422
0.005,balanced,balanced_ttns,-0.04163630398860303,0.5134076937490307,5.159955884789349,0.17872776461860743,53.92065699887462
0.005,balanced,chain_ttns,-0.02931337501964095,0.580736496701666,5.838805922101508,0.19917946849756096,49.82268650084734
0.005,balanced,tt,-0.029900484017319248,0.5707922893853338,5.740103183641416,0.19572406543218554,5.22294656210579
0.005,chain,balanced_ttns,5.975005117291228e-07,0.9185715920688412,12.110661737918846,0.33432594587788794,44.94827155396342
0.005,chain,chain_ttns,9.72812648433314e-07,0.9316526524849253,12.245702989567192,0.3400471923345041,41.703436870127916
0.005,chain,tt,9.68199718160807e-07,0.9659867132117421,12.815750023630391,0.33751029439770336,5.0448529799468815
0.01,balanced,balanced_ttns,-0.043327531494542465,0.4897693887051,4.922135511323989,0.1710797241054658,54.54607473593205
0.01,balanced,chain_ttns,-0.029987008706878204,0.5782944526612419,5.814462103380783,0.1983499531701157,50.529323105933145
0.01,balanced,tt,-0.030485517751692597,0.5655086406403286,5.686594664305066,0.1932726312446131,5.475583114894107
0.01,chain,balanced_ttns,1.568948280563781e-06,0.9376123323373177,12.326322803843814,0.33950011627307114,45.29265830502845
0.01,chain,chain_ttns,9.02584672034867e-06,1.165290473896926,14.797197195054508,0.4205340619481617,42.92637830087915
0.01,chain,tt,2.619284886352996e-05,1.9675003151162471,23.007201924561958,0.6647109464608855,5.022718040971085
